TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
ut san antonio,1427,,,Delaware St.,delaware st.,1175,,,,,,,,,,
ut-arlington,1426,,,Gonzaga,gonzaga,1211,,,,,,,,,,
ut-martin,1404,,,Villanova,villanova,1437,,,,,,,,,,
utah,1428,,,Virginia,virginia,1438,,,,,,,,,,
utah st,1429,,,Kentucky,kentucky,1246,,,,,,,,,,
utah st.,1429,,,North Carolina,north carolina,1314,,,,,,,,,,
utah state,1429,,,Florida,florida,1196,,,,,,,,,,
utah valley,1430,,,West Virginia,west virginia,1452,,,,,,,,,,
utah valley st.,1430,,,Louisville,louisville,1257,,,,,,,,,,
utah-st,1429,,,Kansas,kansas,1242,,,,,,,,,,
utah-state,1429,,,Duke,duke,1181,,,,,,,,,,
utah-valley,1430,,,SMU,smu,1374,,,,,,,,,,
utah-valley-state,1430,,,Baylor,baylor,1124,,,,,,,,,,
utep,1431,,,Purdue,purdue,1345,,,,,,,,,,
utica,1432,,,Wichita St.,wichita st.,1455,,,,,,,,,,
utrgv,1410,,,Saint Mary's,saint mary's,1388,,,,,,,,,,
utsa,1427,,,Cincinnati,cincinnati,1153,,,,,,,,,,
va commonwealth,1433,,,Michigan,michigan,1276,,,,,,,,,,
valparaiso,1434,,,Wisconsin,wisconsin,1458,,,,,,,,,,
vanderbilt,1435,,,Notre Dame,notre dame,1323,,,,,,,,,,
vcu,1433,,,Oregon,oregon,1332,,,,,,,,,,
vcu(va. commonwealth,1433,,,Iowa St.,iowa st.,1235,,,,,,,,,,
vermont,1436,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,,,
villanova,1437,,,Arizona,arizona,1112,,,,,,,,,,
virginia,1438,,,Florida St.,florida st.,1199,,,,,,,,,,
virginia commonwealth,1433,,,UCLA,ucla,1417,,,,,,,,,,
virginia military,1440,,,Creighton,creighton,1166,,,,,,,,,,
virginia military institute,1440,,,Butler,butler,1139,,,,,,,,,,
virginia tech,1439,,,Miami FL,miami fl,1274,,,,,,,,,,
virginia-commonwealth,1433,,,Marquette,marquette,1266,,,,,,,,,,
virginia-military-institute,1440,,,Kansas St.,kansas st.,1243,,,,,,,,,,
virginia-tech,1439,,,Wake Forest,wake forest,1448,,,,,,,,,,
vmi,1440,,,South Carolina,south carolina,1376,,,,,,,,,,
w carolina,1441,,,Vanderbilt,vanderbilt,1435,,,,,,,,,,
w illinois,1442,,,Minnesota,minnesota,1278,,,,,,,,,,
w kentucky,1443,,,Xavier,xavier,1462,,,,,,,,,,
w michigan,1444,,,Clemson,clemson,1155,,,,,,,,,,
w salem st,1445,,,Northwestern,northwestern,1321,,,,,,,,,,
w texas a&m,1446,,,Indiana,indiana,1231,,,,,,,,,,
wagner,1447,,,Illinois St.,illinois st.,1229,,,,,,,,,,
wake forest,1448,,,Maryland,maryland,1268,,,,,,,,,,
wake-forest,1448,,,Michigan St.,michigan st.,1277,,,,,,,,,,
washington,1449,,,Rhode Island,rhode island,1348,,,,,,,,,,
washington st,1450,,,Houston,houston,1222,,,,,,,,,,
washington st.,1450,,,Syracuse,syracuse,1393,,,,,,,,,,
washington state,1450,,,Virginia Tech,virginia tech,1439,,,,,,,,,,
washington-st,1450,,,Texas Tech,texas tech,1403,,,,,,,,,,
washington-state,1450,,,Dayton,dayton,1173,,,,,,,,,,
weber st,1451,,,TCU,tcu,1395,,,,,,,,,,
weber st.,1451,,,Middle Tennessee,middle tennessee,1292,,,,,,,,,,
weber state,1451,,,Utah,utah,1428,,,,,,,,,,
weber-st,1451,,,Arkansas,arkansas,1116,,,,,,,,,,
weber-state,1451,,,Tennessee,tennessee,1397,,,,,,,,,,
west texas a&m,1446,,,Georgia,georgia,1208,,,,,,,,,,
west virginia,1452,,,Providence,providence,1344,,,,,,,,,,
west-virginia,1452,,,Alabama,alabama,1104,,,,,,,,,,
western caro.,1441,,,Seton Hall,seton hall,1371,,,,,,,,,,
western carolina,1441,,,California,california,1143,,,,,,,,,,
western ill.,1442,,,Texas A&M,texas a&m,1401,,,,,,,,,,
western illinois,1442,,,VCU,vcu,1433,,,,,,,,,,
western kentucky,1443,,,Oklahoma,oklahoma,1328,,,,,,,,,,
western ky.,1443,,,Nevada,nevada,1305,,,,,,,,,,
western mich.,1444,,,Ohio St.,ohio st.,1326,,,,,,,,,,
western michigan,1444,,,UNC Wilmington,unc wilmington,1423,,,,,,,,,,
western-caro,1441,,,UCF,ucf,1416,,,,,,,,,,
western-carolina,1441,,,Georgetown,georgetown,1207,,,,,,,,,,
western-ill,1442,,,Princeton,princeton,1343,,,,,,,,,,
western-illinois,1442,,,USC,usc,1425,,,,,,,,,,
western-kentucky,1443,,,Pittsburgh,pittsburgh,1338,,,,,,,,,,
western-ky,1443,,,Iowa,iowa,1234,,,,,,,,,,
western-mich,1444,,,Vermont,vermont,1436,,,,,,,,,,
western-michigan,1444,,,Texas,texas,1400,,,,,,,,,,
wi green bay,1453,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,,,
wi milwaukee,1454,,,San Diego St.,san diego st.,1361,,,,,,,,,,
wichita st,1455,,,BYU,byu,1140,,,,,,,,,,
wichita st.,1455,,,Davidson,davidson,1172,,,,,,,,,,
wichita state,1455,,,Auburn,auburn,1120,,,,,,,,,,
wichita-st,1455,,,Mississippi,mississippi,1279,,,,,,,,,,
wichita-state,1455,,,Illinois,illinois,1228,,,,,,,,,,
wichitastate,1455,,,Colorado,colorado,1160,,,,,,,,,,
william & mary,1456,,,San Francisco,san francisco,1362,,,,,,,,,,
william--mary,1456,,,Boise St.,boise st.,1129,,,,,,,,,,
william-mary,1456,,,Colorado St.,colorado st.,1161,,,,,,,,,,
winston salem,1445,,,Bucknell,bucknell,1137,,,,,,,,,,
winston-salem,1445,,,UT Arlington,ut arlington,1426,,,,,,,,,,
winston-salem-state,1445,,,Nebraska,nebraska,1304,,,,,,,,,,
winthrop,1457,,,Louisiana Tech,louisiana tech,1256,,,,,,,,,,
wis.-green bay,1453,,,Georgia Tech,georgia tech,1210,,,,,,,,,,
wis.-milwaukee,1454,,,New Mexico St.,new mexico st.,1308,,,,,,,,,,
wisconsin,1458,,,Penn St.,penn st.,1336,,,,,,,,,,
wisconsin-green bay,1453,,,Monmouth,monmouth,1284,,,,,,,,,,
wisconsin-green-bay,1453,,,Connecticut,connecticut,1163,,,,,,,,,,
wisconsin-milwaukee,1454,,,Richmond,richmond,1350,,,,,,,,,,
wku,1443,,,Memphis,memphis,1272,,,,,,,,,,
wofford,1459,,,North Carolina St.,north carolina st.,1301,,,,,,,,,,
wright st,1460,,,Loyola Chicago,loyola chicago,1260,,,,,,,,,,
wright st.,1460,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,,,
wright state,1460,,,Ohio,ohio,1325,,,,,,,,,,
wright-st,1460,,,Fresno St.,fresno st.,1201,,,,,,,,,,
wright-state,1460,,,Valparaiso,valparaiso,1434,,,,,,,,,,
wyoming,1461,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,,,,,,,,
xavier,1462,,,St. John's,st. john's,1385,,,,,,,,,,
yale,1463,,,Stanford,stanford,1390,,,,,,,,,,
youngstown st,1464,,,Mississippi St.,mississippi st.,1280,,,,,,,,,,
youngstown st.,1464,,,Akron,akron,1103,,,,,,,,,,
youngstown state,1464,,,Chattanooga,chattanooga,1151,,,,,,,,,,
youngstown-st,1464,,,Temple,temple,1396,,,,,,,,,,
youngstown-state,1464,,,Furman,furman,1202,,,,,,,,,,
cal st. bakersfield,1167,,,College of Charleston,college of charleston,1158,,,,,,,,,,
louisiana lafayette,1418,,,Belmont,belmont,1125,,,,,,,,,,
tarleton st.,1470,,,New Mexico,new mexico,1307,,,,,,,,,,
southeast missouri st.,1369,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,,,
ut rio grande valley,1410,,,Oakland,oakland,1324,,,,,,,,,,
louisiana monroe,1419,,,Saint Peter's,saint peter's,1389,,,,,,,,,,
illinois chicago,1227,,,Harvard,harvard,1217,,,,,,,,,,
st. francis ny,1383,,,UNC Asheville,unc asheville,1421,,,,,,,,,,
st. francis pa,1384,,,UC Irvine,uc irvine,1414,,,,,,,,,,
dixie st.,1469,,,Georgia St.,georgia st.,1209,,,,,,,,,,
texas a&m corpus chris,1394,,,Old Dominion,old dominion,1330,,,,,,,,,,
tennessee martin,1404,,,Toledo,toledo,1405,,,,,,,,,,
arkansas pine bluff,1115,,,Winthrop,winthrop,1457,,,,,,,,,,
mississippi valley st.,1290,,,Missouri St.,missouri st.,1283,,,,,,,,,,
bethune cookman,1126,,,Arizona St.,arizona st.,1113,,,,,,,,,,
maryland eastern shore,1271,,,George Mason,george mason,1206,,,,,,,,,,
arkansas little rock,1114,,,Lehigh,lehigh,1250,,,,,,,,,,
,,,,Evansville,evansville,1191,,,,,,,,,,
,,,,Towson,towson,1406,,,,,,,,,,
,,,,Santa Clara,santa clara,1365,,,,,,,,,,
,,,,George Washington,george washington,1203,,,,,,,,,,
,,,,Arkansas St.,arkansas st.,1117,,,,,,,,,,
,,,,Iona,iona,1233,,,,,,,,,,
,,,,La Salle,la salle,1247,,,,,,,,,,
,,,,Rutgers,rutgers,1353,,,,,,,,,,
,,,,Albany,albany,1107,,,,,,,,,,
,,,,Boston College,boston college,1130,,,,,,,,,,
,,,,UNC Greensboro,unc greensboro,1422,,,,,,,,,,
,,,,William & Mary,william & mary,1456,,,,,,,,,,
,,,,Wyoming,wyoming,1461,,,,,,,,,,
,,,,Tulsa,tulsa,1409,,,,,,,,,,
,,,,Utah St.,utah st.,1429,,,,,,,,,,
,,,,Samford,samford,1359,,,,,,,,,,
,,,,Fort Wayne,fort wayne,1236,,,,,,,,,,
,,,,Troy,troy,1407,,,,,,,,,,
,,,,Grand Canyon,grand canyon,1213,,,,,,,,,,
,,,,Tennessee St.,tennessee st.,1398,,,,,,,,,,
,,,,Elon,elon,1189,,,,,,,,,,
,,,,Mercer,mercer,1273,,,,,,,,,,
,,,,Wofford,wofford,1459,,,,,,,,,,
,,,,Eastern Michigan,eastern michigan,1185,,,,,,,,,,
,,,,Kent St.,kent st.,1245,,,,,,,,,,
,,,,Northern Kentucky,northern kentucky,1297,,,,,,,,,,
,,,,Yale,yale,1463,,,,,,,,,,
,,,,Washington,washington,1449,,,,,,,,,,
,,,,Marshall,marshall,1267,,,,,,,,,,
,,,,Missouri,missouri,1281,,,,,,,,,,
,,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,,,
,,,,North Carolina Central,north carolina central,1300,,,,,,,,,,
,,,,Massachusetts,massachusetts,1269,,,,,,,,,,
,,,,Northern Iowa,northern iowa,1320,,,,,,,,,,
,,,,Buffalo,buffalo,1138,,,,,,,,,,
,,,,Saint Joseph's,saint joseph's,1386,,,,,,,,,,
,,,,Northeastern,northeastern,1318,,,,,,,,,,
,,,,Texas St.,texas st.,1402,,,,,,,,,,
,,,,Penn,penn,1335,,,,,,,,,,
,,,,Rice,rice,1349,,,,,,,,,,
,,,,Washington St.,washington st.,1450,,,,,,,,,,
,,,,Lipscomb,lipscomb,1252,,,,,,,,,,
,,,,Loyola Marymount,loyola marymount,1258,,,,,,,,,,
,,,,Georgia Southern,georgia southern,1204,,,,,,,,,,
,,,,North Dakota,north dakota,1315,,,,,,,,,,
,,,,DePaul,depaul,1177,,,,,,,,,,
,,,,LSU,lsu,1261,,,,,,,,,,
,,,,South Dakota,south dakota,1377,,,,,,,,,,
,,,,Western Michigan,western michigan,1444,,,,,,,,,,
,,,,Ball St.,ball st.,1123,,,,,,,,,,
,,,,Wright St.,wright st.,1460,,,,,,,,,,
,,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,,,
,,,,UAB,uab,1412,,,,,,,,,,
,,,,Siena,siena,1373,,,,,,,,,,
,,,,Weber St.,weber st.,1451,,,,,,,,,,
,,,,Eastern Washington,eastern washington,1186,,,,,,,,,,
,,,,East Carolina,east carolina,1187,,,,,,,,,,
,,,,Southern Illinois,southern illinois,1356,,,,,,,,,,
,,,,Utah Valley,utah valley,1430,,,,,,,,,,
,,,,North Dakota St.,north dakota st.,1295,,,,,,,,,,
,,,,Nebraska Omaha,nebraska omaha,1303,,,,,,,,,,
,,,,Boston University,boston university,1131,,,,,,,,,,
,,,,Montana,montana,1285,,,,,,,,,,
,,,,Fordham,fordham,1200,,,,,,,,,,
,,,,New Hampshire,new hampshire,1306,,,,,,,,,,
,,,,Gardner Webb,gardner webb,1205,,,,,,,,,,
,,,,New Orleans,new orleans,1309,,,,,,,,,,
,,,,Green Bay,green bay,1453,,,,,,,,,,
,,,,Canisius,canisius,1145,,,,,,,,,,
,,,,Indiana St.,indiana st.,1232,,,,,,,,,,
,,,,Hofstra,hofstra,1220,,,,,,,,,,
,,,,UMBC,umbc,1420,,,,,,,,,,
,,,,Morehead St.,morehead st.,1287,,,,,,,,,,
,,,,Navy,navy,1298,,,,,,,,,,
,,,,South Dakota St.,south dakota st.,1355,,,,,,,,,,
,,,,Northern Illinois,northern illinois,1296,,,,,,,,,,
,,,,Denver,denver,1176,,,,,,,,,,
,,,,UC Davis,uc davis,1413,,,,,,,,,,
,,,,IUPUI,iupui,1237,,,,,,,,,,
,,,,Air Force,air force,1102,,,,,,,,,,
,,,,Eastern Illinois,eastern illinois,1183,,,,,,,,,,
,,,,Murray St.,murray st.,1293,,,,,,,,,,
,,,,Mount St. Mary's,mount st. mary's,1291,,,,,,,,,,
,,,,Long Beach St.,long beach st.,1253,,,,,,,,,,
,,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,,,,,,,,
,,,,Fairfield,fairfield,1193,,,,,,,,,,
,,,,UTEP,utep,1431,,,,,,,,,,
,,,,Coastal Carolina,coastal carolina,1157,,,,,,,,,,
,,,,Tulane,tulane,1408,,,,,,,,,,
,,,,San Jose St.,san jose st.,1363,,,,,,,,,,
,,,,Duquesne,duquesne,1182,,,,,,,,,,
,,,,Tennessee Martin,tennessee martin,1404,,,,,,,,,,
,,,,Rider,rider,1351,,,,,,,,,,
,,,,Holy Cross,holy cross,1221,,,,,,,,,,
,,,,Stony Brook,stony brook,1392,,,,,,,,,,
,,,,UMKC,umkc,1282,,,,,,,,,,
,,,,Liberty,liberty,1251,,,,,,,,,,
,,,,Texas Southern,texas southern,1411,,,,,,,,,,
,,,,Lamar,lamar,1249,,,,,,,,,,
,,,,James Madison,james madison,1241,,,,,,,,,,
,,,,Columbia,columbia,1162,,,,,,,,,,
,,,,Western Kentucky,western kentucky,1443,,,,,,,,,,
,,,,Houston Baptist,houston baptist,1223,,,,,,,,,,
,,,,Charlotte,charlotte,1150,,,,,,,,,,
,,,,Idaho,idaho,1225,,,,,,,,,,
,,,,UNLV,unlv,1424,,,,,,,,,,
,,,,Oral Roberts,oral roberts,1331,,,,,,,,,,
,,,,Montana St.,montana st.,1286,,,,,,,,,,
,,,,Drake,drake,1179,,,,,,,,,,
,,,,Bowling Green,bowling green,1132,,,,,,,,,,
,,,,Sam Houston St.,sam houston st.,1358,,,,,,,,,,
,,,,Illinois Chicago,illinois chicago,1227,,,,,,,,,,
,,,,Central Michigan,central michigan,1141,,,,,,,,,,
,,,,Bradley,bradley,1133,,,,,,,,,,
,,,,Portland St.,portland st.,1340,,,,,,,,,,
,,,,Pacific,pacific,1334,,,,,,,,,,
,,,,Southeastern Louisiana,southeastern louisiana,1368,,,,,,,,,,
,,,,South Alabama,south alabama,1375,,,,,,,,,,
,,,,Army,army,1119,,,,,,,,,,
,,,,Drexel,drexel,1180,,,,,,,,,,
,,,,Little Rock,little rock,1114,,,,,,,,,,
,,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,,,
,,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,,,
,,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,,,
,,,,St. Francis PA,st. francis pa,1384,,,,,,,,,,
,,,,Hawaii,hawaii,1218,,,,,,,,,,
,,,,Cleveland St.,cleveland st.,1156,,,,,,,,,,
,,,,Northern Colorado,northern colorado,1294,,,,,,,,,,
,,,,Wagner,wagner,1447,,,,,,,,,,
,,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,,,
,,,,Louisiana Monroe,louisiana monroe,1419,,,,,,,,,,
,,,,USC Upstate,usc upstate,1367,,,,,,,,,,
,,,,Appalachian St.,appalachian st.,1111,,,,,,,,,,
,,,,San Diego,san diego,1360,,,,,,,,,,
,,,,Seattle,seattle,1370,,,,,,,,,,
,,,,Loyola MD,loyola md,1259,,,,,,,,,,
,,,,UTSA,utsa,1427,,,,,,,,,,
,,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,,,
,,,,Robert Morris,robert morris,1352,,,,,,,,,,
,,,,Cornell,cornell,1165,,,,,,,,,,
,,,,Portland,portland,1339,,,,,,,,,,
,,,,Eastern Kentucky,eastern kentucky,1184,,,,,,,,,,
,,,,North Florida,north florida,1316,,,,,,,,,,
,,,,Saint Louis,saint louis,1387,,,,,,,,,,
,,,,Oregon St.,oregon st.,1333,,,,,,,,,,
,,,,Fairleigh Dickinson,fairleigh dickinson,1192,,,,,,,,,,
,,,,South Florida,south florida,1378,,,,,,,,,,
,,,,Niagara,niagara,1310,,,,,,,,,,
,,,,Milwaukee,milwaukee,1454,,,,,,,,,,
,,,,FIU,fiu,1198,,,,,,,,,,
,,,,Cal Poly,cal poly,1142,,,,,,,,,,
,,,,Florida Atlantic,florida atlantic,1194,,,,,,,,,,
,,,,High Point,high point,1219,,,,,,,,,,
,,,,Brown,brown,1135,,,,,,,,,,
,,,,Cal St. Northridge,cal st. northridge,1169,,,,,,,,,,
,,,,Abilene Christian,abilene christian,1101,,,,,,,,,,
,,,,Tennessee Tech,tennessee tech,1399,,,,,,,,,,
,,,,Delaware,delaware,1174,,,,,,,,,,
,,,,NJIT,njit,1312,,,,,,,,,,
,,,,Jacksonville,jacksonville,1239,,,,,,,,,,
,,,,The Citadel,the citadel,1154,,,,,,,,,,
,,,,Quinnipiac,quinnipiac,1346,,,,,,,,,,
,,,,Colgate,colgate,1159,,,,,,,,,,
,,,,Detroit,detroit,1178,,,,,,,,,,
,,,,Manhattan,manhattan,1264,,,,,,,,,,
,,,,UT Rio Grande Valley,ut rio grande valley,1410,,,,,,,,,,
,,,,Pepperdine,pepperdine,1337,,,,,,,,,,
,,,,Campbell,campbell,1144,,,,,,,,,,
,,,,Western Illinois,western illinois,1442,,,,,,,,,,
,,,,Miami OH,miami oh,1275,,,,,,,,,,
,,,,Nicholls St.,nicholls st.,1311,,,,,,,,,,
,,,,UMass Lowell,umass lowell,1262,,,,,,,,,,
,,,,Bryant,bryant,1136,,,,,,,,,,
,,,,Marist,marist,1265,,,,,,,,,,
,,,,UC Riverside,uc riverside,1415,,,,,,,,,,
,,,,Austin Peay,austin peay,1122,,,,,,,,,,
,,,,Sacramento St.,sacramento st.,1170,,,,,,,,,,
,,,,Youngstown St.,youngstown st.,1464,,,,,,,,,,
,,,,Sacred Heart,sacred heart,1357,,,,,,,,,,
,,,,Northwestern St.,northwestern st.,1322,,,,,,,,,,
,,,,Norfolk St.,norfolk st.,1313,,,,,,,,,,
,,,,Dartmouth,dartmouth,1171,,,,,,,,,,
,,,,Radford,radford,1347,,,,,,,,,,
,,,,Incarnate Word,incarnate word,1230,,,,,,,,,,
,,,,Charleston Southern,charleston southern,1149,,,,,,,,,,
,,,,Central Arkansas,central arkansas,1146,,,,,,,,,,
,,,,American,american,1110,,,,,,,,,,
,,,,Alcorn St.,alcorn st.,1108,,,,,,,,,,
,,,,North Texas,north texas,1317,,,,,,,,,,
,,,,Prairie View A&M,prairie view a&m,1341,,,,,,,,,,
,,,,Binghamton,binghamton,1127,,,,,,,,,,
,,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,,,
,,,,SIU Edwardsville,siu edwardsville,1188,,,,,,,,,,
,,,,McNeese St.,mcneese st.,1270,,,,,,,,,,
,,,,Morgan St.,morgan st.,1288,,,,,,,,,,
,,,,Savannah St.,savannah st.,1366,,,,,,,,,,
,,,,Stetson,stetson,1391,,,,,,,,,,
,,,,Maryland Eastern Shore,maryland eastern shore,1271,,,,,,,,,,
,,,,Hampton,hampton,1214,,,,,,,,,,
,,,,VMI,vmi,1440,,,,,,,,,,
,,,,Western Carolina,western carolina,1441,,,,,,,,,,
,,,,Idaho St.,idaho st.,1226,,,,,,,,,,
,,,,Northern Arizona,northern arizona,1319,,,,,,,,,,
,,,,Southern,southern,1380,,,,,,,,,,
,,,,Southern Utah,southern utah,1381,,,,,,,,,,
,,,,Jackson St.,jackson st.,1238,,,,,,,,,,
,,,,Lafayette,lafayette,1248,,,,,,,,,,
,,,,Southern Miss,southern miss,1379,,,,,,,,,,
,,,,Hartford,hartford,1216,,,,,,,,,,
,,,,Maine,maine,1263,,,,,,,,,,
,,,,Bethune Cookman,bethune cookman,1126,,,,,,,,,,
,,,,Chicago St.,chicago st.,1152,,,,,,,,,,
,,,,Grambling St.,grambling st.,1212,,,,,,,,,,
,,,,South Carolina St.,south carolina st.,1354,,,,,,,,,,
,,,,Delaware St.,delaware st.,1175,,,,,,,,,,
,,,,Howard,howard,1224,,,,,,,,,,
,,,,Central Connecticut,central connecticut,1148,,,,,,,,,,
,,,,Mississippi Valley St.,mississippi valley st.,1290,,,,,,,,,,
,,,,Alabama St.,alabama st.,1106,,,,,,,,,,
,,,,Florida A&M,florida a&m,1197,,,,,,,,,,
,,,,St. Francis NY,st. francis ny,1383,,,,,,,,,,
,,,,Coppin St.,coppin st.,1164,,,,,,,,,,
,,,,Longwood,longwood,1255,,,,,,,,,,
,,,,North Carolina A&T,north carolina a&t,1299,,,,,,,,,,
,,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,,,,,,,,
,,,,Presbyterian,presbyterian,1342,,,,,,,,,,
,,,,Alabama A&M,alabama a&m,1105,,,,,,,,,,
,,,,Kansas,kansas,1242,,,,,,,,,,
,,,,Villanova,villanova,1437,,,,,,,,,,
,,,,Virginia,virginia,1438,,,,,,,,,,
,,,,West Virginia,west virginia,1452,,,,,,,,,,
,,,,Michigan St.,michigan st.,1277,,,,,,,,,,
,,,,Kentucky,kentucky,1246,,,,,,,,,,
,,,,North Carolina,north carolina,1314,,,,,,,,,,
,,,,Oklahoma,oklahoma,1328,,,,,,,,,,
,,,,Purdue,purdue,1345,,,,,,,,,,
,,,,Louisville,louisville,1257,,,,,,,,,,
,,,,Miami FL,miami fl,1274,,,,,,,,,,
,,,,Xavier,xavier,1462,,,,,,,,,,
,,,,Vanderbilt,vanderbilt,1435,,,,,,,,,,
,,,,Duke,duke,1181,,,,,,,,,,
,,,,Texas A&M,texas a&m,1401,,,,,,,,,,
,,,,Wichita St.,wichita st.,1455,,,,,,,,,,
,,,,Iowa St.,iowa st.,1235,,,,,,,,,,
,,,,Indiana,indiana,1231,,,,,,,,,,
,,,,Iowa,iowa,1234,,,,,,,,,,
,,,,Arizona,arizona,1112,,,,,,,,,,
,,,,Oregon,oregon,1332,,,,,,,,,,
,,,,Gonzaga,gonzaga,1211,,,,,,,,,,
,,,,California,california,1143,,,,,,,,,,
,,,,SMU,smu,1374,,,,,,,,,,
,,,,Saint Mary's,saint mary's,1388,,,,,,,,,,
,,,,Seton Hall,seton hall,1371,,,,,,,,,,
,,,,Baylor,baylor,1124,,,,,,,,,,
,,,,Maryland,maryland,1268,,,,,,,,,,
,,,,Butler,butler,1139,,,,,,,,,,
,,,,VCU,vcu,1433,,,,,,,,,,
,,,,Utah,utah,1428,,,,,,,,,,
,,,,Connecticut,connecticut,1163,,,,,,,,,,
,,,,Cincinnati,cincinnati,1153,,,,,,,,,,
,,,,Texas,texas,1400,,,,,,,,,,
,,,,Pittsburgh,pittsburgh,1338,,,,,,,,,,
,,,,Syracuse,syracuse,1393,,,,,,,,,,
,,,,Florida,florida,1196,,,,,,,,,,
,,,,Saint Joseph's,saint joseph's,1386,,,,,,,,,,
,,,,Valparaiso,valparaiso,1434,,,,,,,,,,
,,,,USC,usc,1425,,,,,,,,,,
,,,,Kansas St.,kansas st.,1243,,,,,,,,,,
,,,,Creighton,creighton,1166,,,,,,,,,,
,,,,Dayton,dayton,1173,,,,,,,,,,
,,,,Wisconsin,wisconsin,1458,,,,,,,,,,
,,,,Michigan,michigan,1276,,,,,,,,,,
,,,,Notre Dame,notre dame,1323,,,,,,,,,,
,,,,Texas Tech,texas tech,1403,,,,,,,,,,
,,,,South Carolina,south carolina,1376,,,,,,,,,,
,,,,Georgia Tech,georgia tech,1210,,,,,,,,,,
,,,,Providence,providence,1344,,,,,,,,,,
,,,,San Diego St.,san diego st.,1361,,,,,,,,,,
,,,,Georgetown,georgetown,1207,,,,,,,,,,
,,,,Clemson,clemson,1155,,,,,,,,,,
,,,,Florida St.,florida st.,1199,,,,,,,,,,
,,,,Yale,yale,1463,,,,,,,,,,
,,,,Colorado,colorado,1160,,,,,,,,,,
,,,,BYU,byu,1140,,,,,,,,,,
,,,,George Washington,george washington,1203,,,,,,,,,,
,,,,Washington,washington,1449,,,,,,,,,,
,,,,Georgia,georgia,1208,,,,,,,,,,
,,,,UCLA,ucla,1417,,,,,,,,,,
,,,,Oregon St.,oregon st.,1333,,,,,,,,,,
,,,,Hawaii,hawaii,1218,,,,,,,,,,
,,,,Princeton,princeton,1343,,,,,,,,,,
,,,,LSU,lsu,1261,,,,,,,,,,
,,,,Northern Iowa,northern iowa,1320,,,,,,,,,,
,,,,Houston,houston,1222,,,,,,,,,,
,,,,Arkansas Little Rock,arkansas little rock,1114,,,,,,,,,,
,,,,Arkansas,arkansas,1116,,,,,,,,,,
,,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,,,
,,,,North Carolina St.,north carolina st.,1301,,,,,,,,,,
,,,,Alabama,alabama,1104,,,,,,,,,,
,,,,Virginia Tech,virginia tech,1439,,,,,,,,,,
,,,,Tulsa,tulsa,1409,,,,,,,,,,
,,,,Northwestern,northwestern,1321,,,,,,,,,,
,,,,Marquette,marquette,1266,,,,,,,,,,
,,,,Rhode Island,rhode island,1348,,,,,,,,,,
,,,,South Dakota St.,south dakota st.,1355,,,,,,,,,,
,,,,Ohio St.,ohio st.,1326,,,,,,,,,,
,,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,,,
,,,,Mississippi,mississippi,1279,,,,,,,,,,
,,,,Memphis,memphis,1272,,,,,,,,,,
,,,,Arizona St.,arizona st.,1113,,,,,,,,,,
,,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,,,
,,,,William & Mary,william & mary,1456,,,,,,,,,,
,,,,Nebraska,nebraska,1304,,,,,,,,,,
,,,,Richmond,richmond,1350,,,,,,,,,,
,,,,Evansville,evansville,1191,,,,,,,,,,
,,,,Akron,akron,1103,,,,,,,,,,
,,,,Mississippi St.,mississippi st.,1280,,,,,,,,,,
,,,,UC Irvine,uc irvine,1414,,,,,,,,,,
,,,,Boise St.,boise st.,1129,,,,,,,,,,
,,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,,,
,,,,Temple,temple,1396,,,,,,,,,,
,,,,Tennessee,tennessee,1397,,,,,,,,,,
,,,,Monmouth,monmouth,1284,,,,,,,,,,
,,,,Long Beach St.,long beach st.,1253,,,,,,,,,,
,,,,UT Arlington,ut arlington,1426,,,,,,,,,,
,,,,UNC Wilmington,unc wilmington,1423,,,,,,,,,,
,,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,,,,,,,,
,,,,New Mexico,new mexico,1307,,,,,,,,,,
,,,,James Madison,james madison,1241,,,,,,,,,,
,,,,Oakland,oakland,1324,,,,,,,,,,
,,,,Stanford,stanford,1390,,,,,,,,,,
,,,,Stony Brook,stony brook,1392,,,,,,,,,,
,,,,Wake Forest,wake forest,1448,,,,,,,,,,
